
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","All categories: Method of travel to work (2001 specification)"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02003019 : Bristol 008",4,0,1,0,0,0,6,2,2,0,2,3,1,1,0,5,0,1,0,5,3,0,4,0,1,0,0,51,31,396,60,7,58,30,990,36,12,12,3,9,14,64,20,35,2,6,13,8,30,29,71,56,1,2,17,31,346,2,11,23,32,2,12,45,1,28,4,14,3,18,21,16,20,4,1,0,0,14,163,12,35,3,31,4,19,105,3,69,7,9,3,3,4,6,20,0,3,0,1,0,6,2,0,2,6,2,4,2,14,24,14,21,229,3,0,4,24,2,71,9,2,0,0,5,72,50,16,0,10,3,2,4,13,8,0,7,6,3,7,3
"E02003020 : Bristol 009",6,0,0,0,0,1,8,5,2,0,0,4,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,16,30,21,72,8,94,6,33,92,1,8,1,5,10,42,20,34,3,3,19,5,38,26,39,61,0,0,15,47,395,0,4,6,15,0,4,16,1,14,7,1,0,5,12,8,3,1,0,1,2,6,155,5,21,1,3,9,10,22,3,10,4,5,2,3,7,6,5,1,1,2,2,0,4,2,0,0,6,9,1,2,5,9,5,8,71,5,1,1,32,1,50,6,1,0,2,2,127,40,8,1,4,6,1,1,2,4,1,5,5,1,0,0
"E02003021 : Bristol 010",2,0,5,2,0,1,11,10,6,1,3,11,0,2,0,0,1,1,0,2,3,1,2,1,1,0,0,19,29,30,137,45,30,5,36,14,65,38,7,35,50,13,104,40,5,7,64,14,45,72,88,63,6,7,7,34,502,3,5,13,21,1,8,32,2,16,4,11,3,11,5,9,9,0,0,1,6,17,213,21,29,11,3,1,11,21,6,16,1,6,3,0,5,2,13,3,1,1,0,1,0,0,0,0,3,0,0,1,17,19,14,8,83,5,2,6,64,3,93,5,0,0,5,9,227,102,18,0,12,5,1,5,5,12,6,9,3,9,5,5
"E02003022 : Bristol 011",2,5,2,1,0,0,8,8,2,0,1,6,0,1,0,0,0,2,0,3,4,0,3,0,1,0,0,5,25,23,110,17,85,1,13,20,13,66,3,15,15,16,40,57,3,6,22,11,32,39,51,54,0,0,8,43,389,0,9,8,10,0,5,21,1,8,2,8,5,3,5,7,6,5,0,1,5,8,165,6,10,5,2,1,2,12,5,7,1,7,4,0,5,6,9,0,0,3,0,0,0,0,1,0,2,2,0,2,12,10,4,3,32,4,0,4,21,0,62,2,1,1,3,2,135,40,14,0,14,5,0,4,5,9,4,8,4,4,6,6
"E02003023 : Bristol 012",11,2,3,0,0,1,8,8,4,1,0,4,0,0,0,4,1,0,0,2,2,4,6,0,0,1,0,5,11,17,40,2,9,1,21,1,5,1,86,127,86,11,19,15,8,33,12,39,12,58,53,22,6,8,6,8,266,3,3,20,8,1,19,17,3,6,1,8,3,5,7,9,4,2,0,0,3,9,133,27,25,18,2,4,0,6,0,6,4,4,2,0,2,6,6,2,0,0,0,0,1,0,0,0,1,3,0,0,11,11,10,6,44,2,5,1,29,0,43,10,0,0,2,6,284,46,37,4,14,28,1,6,31,31,6,20,7,0,4,7
"E02003024 : Bristol 013",7,9,8,2,0,0,11,13,0,1,1,3,0,0,1,0,2,2,0,6,3,1,4,0,0,1,0,7,13,20,44,2,10,2,36,5,12,6,31,306,67,12,26,9,21,31,17,60,17,44,81,17,3,10,31,19,299,2,2,26,18,2,27,30,2,12,7,23,0,7,5,6,10,5,2,3,3,12,213,29,55,20,2,9,7,12,3,11,2,7,2,1,2,9,10,2,0,0,1,0,4,0,0,0,0,2,0,0,12,6,18,8,60,21,4,6,55,1,63,10,4,4,4,7,297,48,57,16,32,42,10,10,46,49,6,28,10,4,11,15
"E02003025 : Bristol 014",0,0,3,0,0,0,6,2,2,0,3,3,0,0,0,8,0,0,0,5,1,1,3,0,0,0,0,18,25,25,87,37,12,3,39,6,21,22,18,41,180,11,61,19,1,7,44,12,12,126,58,14,2,5,21,21,278,3,3,12,9,2,9,34,2,10,6,19,0,15,5,6,12,6,2,0,1,5,125,40,51,14,3,4,5,15,1,10,4,4,5,0,4,2,7,1,1,2,1,0,0,0,0,0,4,1,3,0,7,17,3,10,80,4,0,6,47,0,62,10,1,0,6,6,157,67,29,0,12,5,3,2,4,10,0,15,4,0,4,10
"E02003026 : Bristol 015",3,0,3,0,0,1,12,6,9,2,2,5,1,1,0,2,0,2,0,2,4,1,2,0,2,1,0,10,26,30,87,4,58,11,49,43,8,7,4,16,16,101,23,60,3,5,40,8,50,47,52,102,2,4,6,101,558,0,7,12,28,2,6,31,1,14,11,6,2,5,16,8,6,4,0,1,6,8,220,9,15,5,1,10,10,26,2,10,3,5,1,0,5,7,13,2,0,3,0,2,6,2,0,0,1,9,1,1,6,8,2,8,49,6,0,2,23,0,51,2,2,1,1,6,131,25,15,1,4,2,0,2,4,6,1,3,1,2,1,2
"E02003027 : Bristol 016",7,5,6,1,1,3,24,18,11,2,6,26,0,1,0,1,2,1,6,2,5,7,4,0,1,1,1,26,21,27,161,25,46,5,37,22,34,27,6,60,53,21,272,59,13,12,178,14,93,188,165,125,0,7,16,70,1166,0,15,37,37,5,14,47,8,15,10,18,6,12,12,16,13,5,5,3,9,24,409,44,50,12,6,5,9,30,2,24,2,9,3,1,18,4,7,3,4,2,0,2,9,2,1,0,9,0,5,1,29,26,9,9,92,15,2,6,79,4,144,8,1,3,7,8,372,95,38,5,25,15,0,9,13,14,7,25,11,8,4,2
"E02003028 : Bristol 017",2,1,1,2,0,2,29,11,7,1,2,16,2,0,0,1,0,0,1,6,8,0,5,1,1,0,1,16,20,25,101,9,54,5,28,30,8,23,5,29,25,22,43,159,1,11,79,12,99,63,106,149,0,7,8,106,774,0,8,15,16,0,10,21,4,19,2,8,6,5,9,13,8,3,1,3,4,12,233,12,21,3,7,2,12,17,10,15,4,15,1,0,11,14,15,2,0,2,2,1,4,0,1,0,7,8,2,2,10,16,6,9,39,11,0,7,44,2,103,3,1,0,5,5,211,56,11,2,9,9,0,4,9,8,1,10,3,6,7,2
"E02003029 : Bristol 018",7,4,14,1,0,0,6,11,6,1,3,3,0,0,0,3,1,1,0,1,4,0,5,0,0,0,0,3,7,17,33,1,11,1,21,5,4,3,13,144,35,10,16,12,54,28,19,69,2,32,50,13,12,4,40,11,232,4,2,14,5,2,8,22,1,9,3,14,4,11,5,8,3,4,5,1,4,8,105,27,51,20,2,3,2,7,1,12,1,5,2,0,1,0,1,2,0,0,0,0,2,0,0,1,3,2,0,0,18,8,9,3,39,9,4,2,41,1,42,1,7,0,3,3,160,41,56,4,24,30,4,5,38,82,14,37,18,9,14,15
"E02003030 : Bristol 019",7,6,8,0,3,0,10,8,5,0,4,2,0,0,0,4,0,0,0,2,2,2,5,0,0,0,0,11,15,19,45,7,15,1,25,8,7,7,23,130,112,5,27,14,9,60,13,75,16,76,106,24,4,5,36,26,405,4,4,35,13,1,24,37,6,22,10,21,2,26,10,10,9,1,1,7,5,10,246,61,66,43,2,4,6,13,5,14,0,5,1,0,3,6,7,1,0,0,0,1,0,3,0,0,2,2,0,1,12,6,18,9,31,9,5,5,33,3,61,2,4,2,1,10,207,42,42,5,35,10,9,6,18,26,3,19,8,6,11,3
"E02003031 : Bristol 020",1,5,3,0,0,1,38,14,8,1,1,16,2,2,0,4,1,7,0,1,6,11,3,0,1,1,1,19,20,26,74,19,30,7,38,12,7,14,7,50,42,19,86,58,5,8,203,24,125,177,161,132,3,5,14,78,1221,0,4,25,35,7,15,38,4,15,10,13,2,18,22,16,8,4,5,6,7,20,363,36,48,10,5,1,8,28,11,13,5,5,2,1,10,10,10,1,2,4,1,4,9,0,1,0,6,5,2,0,10,13,9,10,58,9,3,8,40,0,119,3,1,2,4,12,250,62,19,2,24,6,1,10,10,8,3,12,7,9,13,3
"E02003032 : Bristol 021",9,4,7,0,0,1,21,8,4,0,2,6,1,1,0,4,2,1,0,2,6,2,10,2,0,0,0,6,9,39,38,8,7,0,32,3,8,6,20,176,60,5,22,13,32,41,29,176,16,58,91,20,21,13,57,14,318,4,5,39,14,1,29,31,3,16,2,33,0,9,15,8,10,2,1,0,4,12,168,44,63,20,3,3,2,7,0,9,2,6,1,2,0,6,11,2,0,0,0,0,4,1,0,0,2,3,0,0,12,10,16,9,38,8,5,4,57,1,61,3,4,1,1,8,177,49,67,2,28,31,2,9,40,56,8,45,27,11,16,26
"E02003033 : Bristol 022",4,2,1,1,0,0,22,18,11,1,5,17,1,1,0,0,1,0,0,8,5,0,1,1,0,1,0,13,14,22,65,6,29,1,20,12,7,8,3,13,8,47,19,45,2,4,59,9,155,73,140,200,0,4,16,94,1093,1,15,24,26,1,8,23,1,9,3,12,1,4,8,9,4,6,3,2,4,11,341,9,23,4,2,2,8,20,2,17,6,9,2,1,9,4,11,1,0,1,2,2,2,0,3,1,7,9,1,1,10,8,5,7,31,2,1,4,19,1,89,5,1,0,1,5,196,49,13,0,15,8,0,6,9,8,4,11,1,4,5,2
"E02003034 : Bristol 023",7,9,2,0,0,5,35,10,14,1,3,22,2,3,0,3,0,3,0,1,7,5,4,0,0,2,0,20,15,44,68,17,13,3,34,15,25,2,6,60,86,9,62,48,5,6,123,18,76,417,230,94,2,6,26,55,1177,2,17,34,46,3,18,76,5,21,9,26,2,11,16,18,13,4,1,1,11,26,391,88,74,22,4,1,7,21,1,24,2,25,2,2,5,7,19,1,1,2,0,3,5,0,2,0,4,3,3,1,12,17,16,32,24,5,7,3,36,1,95,2,1,0,0,7,180,72,35,1,12,16,2,12,13,12,6,32,7,2,11,2
"E02003036 : Bristol 025",4,7,2,2,2,0,21,13,11,4,0,10,1,0,0,2,5,2,1,2,4,4,0,1,0,0,0,5,10,14,47,9,25,4,10,9,4,6,4,29,19,17,28,31,3,8,65,13,84,110,189,114,1,1,9,64,1099,0,13,18,17,3,2,39,4,12,3,15,3,4,10,4,8,3,1,0,7,10,348,14,26,8,4,4,10,12,1,20,3,9,0,2,7,3,9,2,1,0,0,0,1,1,3,0,11,8,3,1,12,3,6,10,37,5,1,3,28,2,73,2,1,0,1,5,158,58,8,0,10,2,0,3,6,4,2,6,4,2,8,3
"E02003037 : Bristol 026",0,9,1,1,1,1,34,16,12,1,2,14,3,1,0,4,0,4,1,4,8,3,3,2,0,1,1,10,14,16,46,5,26,1,15,10,5,3,5,18,8,12,20,36,0,6,32,10,105,64,120,262,3,6,13,159,1186,0,12,31,19,4,10,29,4,12,9,14,1,8,14,6,7,1,3,3,5,8,429,16,20,5,7,8,13,33,4,18,11,9,5,1,14,16,9,3,1,1,2,1,6,2,0,0,4,14,0,4,10,10,4,14,45,8,0,7,39,2,100,1,0,0,4,3,179,61,7,0,12,7,0,6,7,12,2,5,3,0,2,1
"E02003038 : Bristol 027",18,5,10,1,0,0,20,17,7,1,7,10,1,0,0,3,2,1,0,5,2,2,3,0,0,0,0,8,8,22,31,3,7,1,35,2,0,5,13,78,32,7,20,9,15,26,15,75,13,40,58,18,95,29,42,10,279,18,7,32,5,0,21,32,1,18,7,22,2,9,8,7,4,5,2,3,6,16,187,36,74,6,1,5,3,16,1,16,0,7,0,3,4,3,6,1,0,0,1,0,1,1,0,0,0,0,0,0,13,5,19,8,47,12,6,10,27,1,62,4,1,1,2,6,116,35,71,2,35,13,8,11,40,84,37,96,30,27,40,57
"E02003039 : Bristol 028",9,8,6,2,0,0,16,12,12,0,3,7,0,1,0,3,0,2,1,7,4,5,3,1,0,2,0,10,10,21,39,3,14,3,35,9,11,3,10,75,66,11,23,16,11,22,12,84,16,73,96,26,30,111,88,21,428,30,6,54,23,3,24,25,2,24,6,33,2,10,11,12,9,3,1,1,6,15,254,63,90,27,5,2,3,10,4,6,6,19,0,0,7,2,14,2,0,0,0,2,4,4,0,0,7,0,2,0,8,5,16,7,40,7,6,9,36,6,54,7,2,0,2,4,122,42,54,1,23,18,0,13,29,53,7,60,33,22,32,41
"E02003040 : Bristol 029",7,12,6,2,0,1,35,5,14,1,5,17,0,0,0,7,0,2,0,10,4,0,3,1,0,1,1,20,14,46,29,3,16,4,35,11,7,3,11,76,71,12,24,25,9,27,24,54,31,130,148,48,8,39,197,37,714,18,15,70,24,4,31,57,5,31,19,34,11,11,13,10,15,9,1,4,1,29,383,82,153,38,4,3,7,13,3,23,1,8,1,1,12,12,27,3,0,1,0,0,0,1,0,0,7,2,0,2,8,10,20,10,53,7,6,14,42,3,69,9,0,0,3,4,154,43,53,3,20,14,2,12,19,25,5,42,25,20,14,32
"E02003041 : Bristol 030",1,2,0,2,0,1,16,14,10,2,2,9,4,0,0,2,1,1,1,2,3,1,1,2,1,2,0,11,7,10,42,4,22,2,18,9,2,2,2,7,2,9,7,15,4,4,21,10,47,36,64,126,3,2,7,251,808,0,26,11,30,0,6,24,1,18,5,7,1,5,11,4,7,2,0,0,8,8,299,7,10,1,5,5,11,18,6,15,3,13,1,2,8,3,8,2,0,0,1,3,5,1,0,0,2,14,1,1,3,9,2,5,14,2,0,3,29,1,66,4,1,1,1,8,144,17,6,0,11,3,0,3,4,6,2,3,3,3,2,3
"E02003043 : Bristol 032",5,8,0,1,0,0,25,9,10,0,3,17,1,1,0,4,2,0,0,1,4,1,0,0,1,0,0,8,5,19,21,8,13,0,25,7,3,4,2,18,20,10,31,18,5,4,36,7,45,72,174,144,7,3,5,92,1493,0,19,30,35,0,16,69,1,14,9,18,1,12,25,15,7,4,5,3,5,13,464,15,30,3,2,6,10,20,7,27,3,8,1,3,8,8,11,3,0,1,1,2,8,4,0,1,7,14,1,1,4,5,1,8,33,4,6,6,30,2,72,4,1,1,2,4,197,39,21,0,15,1,4,3,6,5,2,10,7,1,7,9
"E02003044 : Bristol 033",11,10,13,0,1,0,22,18,10,2,4,5,3,0,0,2,1,1,1,3,4,2,5,0,1,0,0,6,8,18,18,0,4,1,35,4,7,3,6,38,24,6,14,4,11,13,20,51,7,41,77,19,33,58,47,5,299,70,3,42,13,2,29,38,2,21,8,31,3,12,10,14,10,3,0,2,5,23,223,29,63,11,3,7,4,14,0,10,2,9,5,2,3,9,12,0,0,0,0,1,0,1,0,0,3,1,0,1,12,8,15,13,25,8,3,10,22,4,50,6,0,0,2,5,119,35,43,1,29,11,3,14,18,53,7,86,25,18,90,87
"E02003045 : Bristol 034",6,2,0,0,0,0,25,10,9,1,0,5,0,1,0,3,0,2,1,1,7,3,2,0,0,2,0,6,11,16,29,3,13,0,20,6,3,0,0,22,3,7,15,12,3,2,10,6,40,59,91,108,1,1,7,117,874,1,49,8,36,0,6,58,1,12,5,14,1,2,23,6,2,5,4,1,7,9,324,9,13,4,6,4,7,16,9,26,8,11,6,0,12,7,9,2,1,5,0,0,5,5,1,0,8,6,3,2,5,8,3,6,17,0,0,4,18,0,39,1,2,0,1,2,89,30,9,0,9,8,0,4,4,7,2,7,1,2,2,3
"E02003046 : Bristol 035",20,15,12,0,0,1,39,20,12,3,6,18,4,2,1,13,11,2,4,13,5,3,8,2,2,3,2,15,14,45,26,8,13,1,59,10,7,1,8,41,26,10,20,15,7,8,7,34,16,90,141,36,8,11,74,38,702,9,8,337,37,12,164,96,10,37,31,152,6,42,34,38,29,8,1,3,6,28,533,51,167,17,4,9,5,27,2,21,3,14,3,1,8,9,23,3,1,4,0,0,3,2,0,0,6,1,2,5,10,8,17,15,41,8,5,6,32,1,93,2,1,3,0,6,116,30,38,1,30,8,1,11,15,14,1,22,13,7,19,14
"E02003047 : Bristol 036",11,6,5,0,0,4,46,9,23,2,6,32,1,1,0,6,3,4,0,8,12,5,2,1,1,5,6,17,14,34,36,7,28,3,43,14,7,2,9,35,20,12,30,18,2,6,21,17,46,114,143,77,1,5,16,80,1300,2,21,55,324,11,29,193,7,115,19,36,5,39,55,34,37,9,4,2,12,41,455,23,43,7,7,6,17,35,10,54,3,12,5,9,24,9,23,8,2,6,1,2,11,1,2,1,15,4,8,3,9,5,6,13,31,1,0,7,32,1,81,6,0,0,1,5,131,43,20,0,6,4,3,14,13,15,2,15,7,5,4,3
"E02003048 : Bristol 037",8,8,8,0,1,1,42,10,14,2,3,19,1,0,0,5,3,2,0,1,5,7,1,3,0,6,1,4,12,25,21,5,9,2,36,2,2,3,5,29,21,7,27,17,2,2,20,15,26,86,106,55,2,4,23,28,767,0,6,42,51,66,30,121,21,27,40,49,7,19,23,32,18,4,6,2,16,20,471,21,40,9,4,0,10,11,3,20,5,9,3,1,10,8,35,1,1,3,0,1,1,0,0,0,10,0,5,1,3,7,9,5,11,5,2,3,33,0,54,1,1,0,1,1,63,26,18,0,10,2,1,9,5,9,3,12,4,0,12,5
"E02003049 : Bristol 038",13,10,18,0,2,1,28,14,11,0,5,13,2,1,0,9,5,3,0,20,4,3,5,1,1,1,1,11,5,32,11,1,14,0,29,5,3,5,7,20,18,6,10,12,1,4,15,34,16,52,56,16,3,9,36,33,389,2,3,165,24,4,261,70,6,30,27,145,6,29,21,28,35,13,8,2,16,24,302,21,123,9,4,4,4,15,1,18,0,10,2,2,10,4,18,1,0,0,0,1,5,1,0,0,2,0,0,1,3,3,12,7,36,5,2,2,20,3,41,0,1,0,1,5,54,25,34,1,6,5,1,10,15,16,5,19,17,2,8,12
"E02003050 : Bristol 039",8,2,9,1,1,2,36,8,12,0,2,13,0,0,0,5,3,3,4,6,10,5,1,6,0,1,4,7,16,31,36,6,15,5,50,9,7,2,2,25,21,10,14,19,4,7,18,13,36,73,128,63,0,4,17,56,958,2,11,50,143,4,29,329,20,130,11,36,7,46,55,35,29,5,8,4,12,36,502,14,44,1,4,2,8,31,6,41,6,17,4,5,21,12,86,3,2,3,2,1,2,6,1,0,16,3,4,1,3,3,4,8,46,1,0,5,41,3,64,1,0,0,0,5,113,30,30,0,14,1,0,5,6,6,3,15,5,5,8,7
"E02003051 : Bristol 040",2,11,2,1,0,2,19,7,13,0,3,14,0,0,0,0,3,2,0,3,11,4,1,0,1,1,1,5,9,20,10,3,15,2,39,9,6,2,5,19,22,10,29,12,0,2,24,9,29,66,60,44,3,5,11,39,664,1,19,38,85,13,21,206,54,71,26,28,2,35,30,27,33,7,4,5,18,27,359,18,46,8,4,4,7,17,3,23,4,15,2,0,12,10,35,4,3,8,3,1,5,1,1,1,16,4,1,3,4,3,3,5,18,2,0,2,30,1,45,4,2,0,1,3,66,24,10,0,4,4,0,4,8,11,3,3,3,5,6,7
"E02003052 : Bristol 041",8,5,4,0,0,1,13,13,14,2,2,7,1,0,0,4,3,1,2,3,7,0,2,4,2,2,3,8,9,45,24,2,20,2,40,5,5,6,2,13,14,12,10,15,8,7,16,12,18,62,69,40,4,3,14,39,601,2,6,24,159,5,21,197,8,196,11,13,6,38,54,30,26,7,5,4,6,39,273,13,49,7,7,8,10,36,4,32,5,21,1,4,14,4,25,5,3,3,1,2,1,1,1,2,8,3,0,2,3,4,5,9,26,2,3,3,12,1,44,1,0,1,1,4,97,22,13,0,3,5,2,2,5,4,0,12,3,1,2,1
"E02003053 : Bristol 042",10,5,7,0,1,1,26,10,9,2,2,14,0,1,0,8,3,1,2,15,9,5,4,2,2,0,1,3,12,15,24,2,16,4,40,9,3,7,7,40,12,12,8,23,5,8,15,12,25,69,99,35,4,4,15,28,622,0,7,64,50,28,59,70,11,32,174,82,28,59,36,52,40,15,1,7,28,25,326,25,57,7,1,5,9,20,2,28,1,14,7,0,6,16,35,0,0,0,0,1,2,0,1,2,6,4,0,0,3,4,13,5,32,3,3,6,26,2,43,3,1,1,0,5,97,36,34,1,13,2,1,9,2,8,2,10,12,3,4,13
"E02003054 : Bristol 043",28,11,12,0,0,1,26,9,12,2,3,10,2,0,2,7,0,1,4,10,10,2,4,2,0,1,0,9,4,19,14,5,12,2,30,5,6,3,5,23,16,6,6,11,0,10,11,15,16,61,78,17,3,3,31,23,440,2,6,120,28,8,145,70,5,27,42,205,7,38,30,24,29,23,5,7,12,26,289,16,99,5,3,4,3,8,2,10,1,1,4,2,7,5,14,3,0,1,2,0,4,0,0,1,4,2,0,0,8,6,11,9,36,4,0,5,20,1,35,0,0,0,0,3,64,35,23,1,14,0,4,16,10,11,2,20,13,4,13,9
"E02003055 : Bristol 044",6,3,18,0,0,0,6,5,4,2,5,4,1,0,1,1,0,3,0,11,7,1,4,0,0,0,0,3,6,39,27,7,11,3,47,3,5,1,5,21,21,5,13,10,2,7,11,13,18,50,86,26,2,2,11,26,393,1,4,51,38,8,57,164,14,69,96,75,67,122,36,88,54,16,2,10,20,28,233,10,57,4,3,4,4,26,2,16,1,7,3,3,0,9,39,0,0,1,0,0,1,1,0,0,11,0,1,1,4,2,8,5,31,4,1,1,15,1,31,4,2,0,3,1,40,14,29,1,5,2,0,0,7,15,2,11,5,3,7,3
"E02003056 : Bristol 045",8,2,8,0,0,0,5,6,4,0,2,4,0,0,0,2,0,0,0,12,3,3,2,1,0,0,0,6,6,37,10,3,2,1,44,6,4,2,10,27,18,7,19,11,1,9,8,8,8,27,63,19,0,1,13,15,361,1,4,35,37,5,37,188,23,92,28,55,38,172,51,55,56,9,6,9,13,34,169,20,51,7,4,2,1,23,2,10,0,13,1,2,11,11,22,0,1,2,0,1,1,1,1,2,12,2,1,0,6,3,6,2,35,2,4,1,8,0,16,5,4,0,1,5,31,18,18,1,3,0,2,3,4,10,2,9,11,2,6,6
"E02003057 : Bristol 046",3,2,5,0,0,0,5,4,2,0,3,3,1,2,1,9,1,0,0,6,12,1,1,3,5,1,1,7,14,19,10,1,3,3,57,3,3,3,3,10,12,12,9,7,7,5,9,17,9,21,56,29,7,2,10,14,314,1,7,24,57,5,26,140,5,104,13,43,7,40,216,23,101,20,13,8,14,48,153,11,50,3,3,3,5,16,3,25,2,10,2,1,8,8,64,1,0,0,0,1,2,1,0,2,5,1,2,0,2,1,5,20,30,5,0,3,12,0,23,2,1,0,0,1,45,15,11,0,4,1,0,2,4,4,1,12,16,4,5,4
"E02003058 : Bristol 047",18,10,14,0,0,0,21,21,12,4,4,12,1,0,0,7,3,2,0,36,20,4,7,0,2,5,1,10,5,29,14,0,13,3,55,12,6,2,4,32,22,9,15,19,4,7,8,23,12,55,81,16,11,2,22,15,420,3,2,76,39,8,86,115,12,56,74,109,19,131,87,274,114,66,6,7,75,56,298,7,86,5,2,5,3,21,2,26,1,14,2,0,13,9,32,2,1,0,0,0,0,4,0,0,7,1,3,1,2,7,12,15,44,4,2,1,13,0,41,4,3,0,1,3,48,20,26,2,21,1,0,9,5,11,1,16,19,4,13,10
"E02003059 : Bristol 048",15,1,5,0,0,0,5,2,1,0,1,1,1,0,0,4,0,0,0,5,7,1,4,0,1,1,0,5,2,19,17,1,6,0,39,1,2,2,1,8,16,15,10,6,2,2,8,7,6,13,41,17,1,1,15,18,248,0,2,23,51,2,32,117,9,82,18,33,12,62,86,31,153,15,21,23,18,55,156,15,31,1,2,4,2,12,0,23,0,15,3,1,6,9,33,0,0,1,0,0,0,0,2,0,8,1,1,0,2,6,5,14,24,2,0,4,14,1,27,4,0,0,0,1,30,23,15,1,5,2,0,0,3,4,2,4,6,1,3,1
"E02003060 : Bristol 049",42,23,31,1,0,0,23,26,13,0,4,12,1,5,0,11,2,2,1,66,14,5,13,1,5,6,1,4,13,40,21,4,16,2,91,6,4,2,3,30,26,18,11,13,6,10,9,21,13,42,96,23,4,7,24,30,456,6,13,97,36,15,159,113,13,72,85,193,11,50,42,130,82,278,4,2,37,58,358,20,94,11,2,7,5,24,2,22,1,13,3,3,9,13,49,4,0,0,0,2,1,1,0,0,5,1,2,3,11,4,13,13,59,8,4,7,18,3,49,2,2,1,1,1,68,43,48,2,19,0,1,10,18,16,7,18,19,4,13,26
"E02003061 : Bristol 050",7,5,4,0,0,1,7,2,1,0,0,2,0,1,0,2,2,1,1,6,13,1,1,1,0,0,0,8,4,26,12,0,9,2,31,5,0,4,3,15,15,7,8,5,1,1,8,6,8,21,54,10,2,2,8,13,185,1,4,30,46,7,31,127,5,73,13,27,9,38,110,27,102,20,76,18,12,54,105,8,33,6,9,2,6,23,2,25,2,13,3,2,11,20,50,4,0,0,0,0,1,0,0,0,18,3,0,1,2,3,7,6,29,1,1,1,5,0,18,1,0,0,0,3,28,16,14,0,5,1,1,2,2,2,2,8,6,5,10,2
"E02003062 : Bristol 051",8,2,2,0,0,0,2,6,0,1,0,1,1,0,0,4,1,1,0,3,8,0,3,0,0,1,0,3,3,42,9,2,7,0,43,5,3,3,1,26,7,3,10,10,4,1,6,12,8,14,37,10,1,0,8,13,167,0,2,43,33,5,33,111,8,67,16,33,7,38,77,50,118,8,27,75,12,73,101,9,28,3,5,0,3,25,2,18,3,8,3,2,5,7,26,0,0,0,0,0,2,3,0,0,1,0,1,2,0,1,6,6,25,2,1,1,6,0,10,2,3,0,0,5,14,24,16,0,5,1,0,2,4,4,0,8,6,4,1,3
"E02003063 : Bristol 052",22,18,15,0,0,1,15,6,8,0,0,8,1,0,0,6,1,1,0,37,24,2,8,2,3,5,0,6,2,23,13,1,9,4,57,6,6,3,4,11,18,3,11,11,2,5,8,17,12,37,80,13,4,2,25,15,305,0,3,38,37,3,51,98,18,63,52,88,11,64,83,169,89,31,14,2,168,93,254,15,78,4,5,2,2,29,3,24,1,11,4,1,13,7,31,0,0,4,0,0,0,0,0,1,6,0,0,0,3,3,11,11,19,2,0,6,12,1,35,0,0,1,2,1,52,18,26,2,9,5,2,8,5,5,4,11,16,4,9,16
"E02003064 : Bristol 053",8,4,7,0,0,0,5,3,2,1,0,3,1,0,0,4,0,0,0,7,1,1,3,0,2,0,0,6,4,28,2,1,8,1,44,3,0,2,1,23,10,9,7,3,2,3,3,6,5,16,36,7,1,1,12,13,176,1,5,30,43,5,36,124,4,51,24,36,4,70,56,56,109,15,6,27,27,173,77,5,20,2,2,2,3,18,0,18,0,7,0,1,3,7,33,3,0,0,0,0,1,0,0,0,6,0,0,0,3,1,3,2,9,3,2,0,10,1,24,2,0,0,0,2,23,16,17,0,7,1,0,5,3,4,0,9,6,3,5,8
"E02006887 : Bristol 054",3,2,2,1,0,0,37,3,20,0,1,18,0,0,0,1,1,0,0,0,5,0,0,1,0,0,0,3,2,12,16,7,5,1,24,5,1,2,2,21,21,14,10,2,3,6,12,4,24,74,156,50,4,2,6,25,772,0,6,25,19,1,13,58,7,18,3,10,5,4,14,15,6,3,0,1,3,2,543,19,47,4,4,2,9,9,3,19,0,10,2,0,1,3,22,0,0,0,0,0,5,0,0,1,4,1,1,1,1,4,2,1,20,3,1,1,21,1,50,1,1,0,1,1,147,32,16,0,17,6,0,10,9,5,1,4,4,3,2,6
